event_id,tag
1,artificial intelligence
1,machine learning
1,technology
1,education
2,festival
2,music
2,food
2,entertainment
3,research
3,academic
3,science
3,innovation
4,sports
4,basketball
4,competition
4,teamwork
5,dance
5,culture
5,performance
5,diversity
6,programming
6,web development
6,JavaScript
6,React
7,networking
7,career
7,professional development
7,alumni
8,environment
8,climate change
8,sustainability
8,science
9,writing
9,literature
9,creativity
9,arts
10,wellness
10,health
10,meditation
10,stress relief
